source_column,model_column,question_label,reason_kept_initially,missing_percent,passes_missingness_check,permutation_importance,selected_for_final_model,notes_on_final_decision
county,county,County,Represents local context and county-level differences in access.,0.0,True,0.01542,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
Sex,sex,Sex of Selected Individual,Useful demographic feature for understanding differences across respondents.,0.0,True,0.00759,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
A18,age_years,A18. AGE OF RESPONDENT,"Age often shapes technology use, financial activity, and exclusion risk.",0.0,True,0.08776,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
NHM,household_size,Number of household members.,Captures household context that may relate to access patterns.,0.0,True,0.00156,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
A20,education,A20. Education Completed,Education is strongly connected to financial and digital inclusion.,0.02,True,0.04783,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
A21,marital_status,A21. Marital Status,May reflect household structure and financial responsibilities.,0.04,True,0.01252,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
A22i,children_in_household,A22i) Number of children in the household,Adds context about household composition and dependency.,0.02,True,0.0136,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
A23,chronic_disease,A23 Household chronic disease status,Possible household vulnerability indicator.,0.06,True,0.00247,False,Left out of the final model because it showed limited predictive value and is less directly tied to the project question.
livelihoodcat,livelihood,Livelihood,Directly connected to employment and economic activity.,0.0,True,0.02246,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
S2__1,can_access_internet,S2._1Can access internet,Simple digital access indicator.,8.51,True,0.0231,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
S3,internet_frequency,S3. How frequently do you use the internet?,More detailed digital behavior indicator than internet access alone.,0.27,True,0.04376,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
nfh_categories,financial_health,New financial health categories,Useful summary measure of financial well-being.,0.0,True,0.01239,True,"Kept for the final model because it is relevant, usable, and supported by the screening process."
fl_score,financial_literacy,Financial Literacy Score,Represents financial knowledge and understanding.,0.0,True,0.00216,False,"Left out because education, internet behavior, and financial health already capture stronger related signal in the current workflow."
T3,distance_to_provider,Distance from nearest financial service point/provider,Captures possible physical access barriers to services.,1.86,True,-0.00016,False,Left out because it showed very low importance in the first-pass model and uses more awkward coded distance categories.
